id,ffold,age,child.present,district,contact.time.gte.60.min,contact.time.gte.60.max,contact.age.lte.5.min,contact.age.5.to.19.min,contact.age.20.to.64.min,contact.age.gte.65.min,contact.age.lte.5.max,contact.age.5.to.19.max,contact.age.20.to.64.max,contact.age.gte.65.max,location.min,location.max,contact.close.min,contact.close.max,contact.all.total.min,contact.all.total.max,contact.time.gte.10.min,contact.time.gte.30.min,contact.age.lte.19.min,contact.age.lt.65.min,contact.time.gte.10.max,contact.time.gte.30.max,contact.age.lte.19.max,contact.age.lt.65.max,contact.age.ave.min,contact.time.min.min,contact.age.ave.max,contact.time.min.max
S0904042,0,52.6899384,1,HK Island,0,0,0,1,9,0,0,1,10,0,7,7,1,1,10,11,2,1,1,10,2,1,1,11,18.6,4,18.72727273,3.636363636
S0904052,0,53.96030116,0,NT East,3,3,0,0,14,0,0,0,14,0,3,4,3,3,14,14,3,3,0,14,3,3,0,14,20,12.85714286,20,12.85714286
S0904071,0,51.16495551,0,NT West,1,1,0,10,4,0,0,10,4,0,3,4,3,3,14,14,3,3,10,14,3,3,10,14,10,8.571428571,10,8.571428571
S0904092,0,40.5229295,1,NT West,3,3,0,2,6,0,0,2,6,0,4,4,1,1,8,8,3,3,2,8,3,3,2,8,16.5,22.5,16.5,22.5
S0904102,0,60.34770705,0,KLN West,2,2,0,0,6,0,0,0,6,0,4,5,2,2,6,6,2,2,0,6,2,2,0,6,20,20,20,20
S0904110,0,23.81930185,0,KLN West,14,15,0,11,9,0,0,12,9,0,4,6,13,14,20,21,14,14,11,20,15,15,12,21,12.3,46.66666667,12,47.36842105
S0904112,0,28.43258042,0,KLN West,2,2,1,1,5,1,1,1,5,1,2,3,2,2,104,104,4,4,2,7,4,4,2,7,21.375,1.730769231,21.375,1.730769231
S0904113,0,52.0054757,0,KLN West,2,2,0,0,3,0,0,0,3,0,1,1,2,2,3,3,3,2,0,3,3,2,0,3,20,43.33333333,20,43.33333333
S0904114,0,57.68651608,0,KLN West,0,0,0,0,3,0,0,0,3,0,2,2,1,1,3,3,2,2,0,3,2,2,0,3,20,20,20,20
S0904122,0,36.38877481,1,HK Island,12,12,2,9,8,0,2,9,8,0,6,7,3,3,19,19,13,12,11,19,13,12,11,19,11.26315789,38.42105263,11.26315789,38.42105263
S0904133,0,62.58179329,1,HK Island,3,3,0,1,6,1,0,1,6,1,4,4,1,1,8,8,3,3,1,7,3,3,1,7,23.875,22.5,23.875,22.5
S0904134,0,71.99178645,1,HK Island,5,5,0,1,4,0,0,1,4,0,2,2,1,1,5,5,5,5,1,5,5,5,1,5,17.2,60,17.2,60
S0904141,0,18.17932923,1,NT East,4,4,1,1,2,0,1,1,2,0,1,1,4,4,4,4,4,4,2,4,4,4,2,4,11.5,60,11.5,60
S0904142,0,47.54277892,1,NT East,2,2,1,2,3,0,1,2,3,0,4,4,1,1,6,6,3,3,3,6,3,3,3,6,12,25,12,25
S0904152,0,17.76317591,1,NT East,8,8,0,7,2,0,0,7,2,0,3,3,3,3,9,9,8,8,7,9,8,8,7,9,9.111111111,53.33333333,9.111111111,53.33333333
S0904156,0,45.62902122,1,NT East,22,22,0,15,10,0,0,15,10,0,4,4,7,7,25,25,22,22,15,25,22,22,15,25,11.6,52.8,11.6,52.8
S0904161,0,20.91718001,1,NT East,3,3,0,1,5,0,0,1,5,0,2,2,1,1,6,6,6,6,1,6,6,6,1,6,17.66666667,45,17.66666667,45
